technology,month,day,hour,generation_mwh
Carbon,1,8,13,2165.7
Carbon,1,8,14,2060.0
Carbon,1,8,15,2093.7
Carbon,1,8,16,2100.0
Carbon,1,8,17,2070.0
Carbon,1,8,18,2070.0
Carbon,1,8,19,2078.5
Carbon,1,8,20,2070.0
Carbon,1,8,21,2025.0
Carbon,1,8,22,2025.0
Carbon,1,8,23,1902.3
Carbon,1,9,0,1814.3
Carbon,1,9,1,1521.3
Carbon,1,9,2,1184.0
Carbon,1,9,3,1047.7
Carbon,1,9,4,1011.0
Carbon,1,9,5,1011.0
Carbon,1,9,6,1086.1
Carbon,1,9,7,1080.5
Carbon,1,9,8,1456.9
Carbon,1,9,9,1668.9
Carbon,1,9,10,1774.5
Carbon,1,9,11,1861.2
Carbon,1,9,12,1826.0
Carbon,1,9,13,1806.0
Carbon,1,9,14,1885.6
Carbon,1,9,15,1915.0
Carbon,1,9,16,1690.0
Carbon,1,9,17,1692.8
Carbon,1,9,18,1690.0
Carbon,1,9,19,1690.0
Carbon,1,9,20,1690.0
Carbon,1,9,21,1690.0
Carbon,1,9,22,1690.0
Carbon,1,9,23,1600.0
Carbon,1,10,0,1348.9
Carbon,1,10,1,1175.0
Carbon,1,10,2,1090.0
Carbon,1,10,3,1045.0
Carbon,1,10,4,1040.0
Carbon,1,10,5,1040.0
Carbon,1,10,6,1040.0
Carbon,1,10,7,1040.0
Carbon,1,10,8,1074.2
Carbon,1,10,9,1137.1
Carbon,1,10,10,1148.2
Carbon,1,10,11,1228.0
Carbon,1,10,12,1200.0
Carbon,1,10,13,1160.0
Carbon,1,10,14,1200.0
Carbon,1,10,15,1290.0
Carbon,1,10,16,1290.0
Carbon,1,10,17,1350.0
Carbon,1,10,18,1392.0
Carbon,1,10,19,1410.0
Carbon,1,10,20,1410.0
Carbon,1,10,21,1410.0
Carbon,1,10,22,1400.0
Carbon,1,10,23,1331.6
Carbon,1,11,0,1332.2
Carbon,1,11,1,1297.0
Carbon,1,11,2,1215.0
Carbon,1,11,3,1090.0
Carbon,1,11,4,1050.0
Carbon,1,11,5,1146.4
Carbon,1,11,6,1281.3
Carbon,1,11,7,1543.4
Carbon,1,11,8,1685.0
Carbon,1,11,9,1680.0
Carbon,1,11,10,1690.0
Carbon,1,11,11,1685.0
Carbon,1,11,12,1680.0
Carbon,1,11,13,1670.0
Carbon,1,11,14,1670.0
Carbon,1,11,15,1685.0
Carbon,1,11,16,1685.0
Carbon,1,11,17,1777.0
Carbon,1,11,18,1750.0
Carbon,1,11,19,1770.0
Carbon,1,11,20,1820.0
Carbon,1,11,21,1724.0
Carbon,1,11,22,1699.5
Carbon,1,11,23,1663.2
Carbon,1,12,0,1525.0
Carbon,1,12,1,1389.3
Carbon,1,12,2,1369.6
Carbon,1,12,3,1191.0
Carbon,1,12,4,1250.0
Carbon,1,12,5,1395.0
Carbon,1,12,6,1420.8
Carbon,1,12,7,1380.0
Carbon,1,12,8,1380.0
Carbon,1,12,9,1380.0
Carbon,1,12,10,1397.5
Carbon,1,12,11,1455.0
Carbon,1,12,12,1556.0
Carbon,1,12,13,1556.0
Carbon,1,12,14,1571.0
Carbon,1,12,15,1571.3
Carbon,1,12,16,1546.0
Carbon,1,12,17,1590.8
Carbon,1,12,18,1458.3
Carbon,1,12,19,1375.0
Carbon,1,12,20,1550.0
Carbon,1,12,21,1550.0
Carbon,1,12,22,1501.5
Carbon,1,12,23,1540.0
Carbon,1,13,0,1612.5
Carbon,1,13,1,1545.0
Carbon,1,13,2,1480.6
Carbon,1,13,3,1395.8
Carbon,1,13,4,1534.2
Carbon,1,13,5,1486.2
Carbon,1,13,6,1485.0
Carbon,1,13,7,1512.0
Carbon,1,13,8,1520.0
Carbon,1,13,9,1520.0
Carbon,1,13,10,1540.0
Carbon,1,13,11,1530.0
Carbon,1,13,12,1530.0
Carbon,1,13,13,1530.0
Carbon,1,13,14,1530.0
Carbon,1,13,15,1530.0
Carbon,1,13,16,1530.0
Carbon,1,13,17,1540.0
Carbon,1,13,18,1520.0
Carbon,1,13,19,1540.0
Carbon,1,13,20,1545.0
Carbon,1,13,21,1540.0
Carbon,1,13,22,1520.0
Carbon,1,13,23,1522.9
Carbon,1,14,0,1540.0
Carbon,1,14,1,1511.4
Carbon,1,14,2,1445.0
Carbon,1,14,3,1290.0
Carbon,1,14,4,1340.0
Carbon,1,14,5,1410.4
Carbon,1,14,6,1355.6
Carbon,1,14,7,1513.0
Carbon,1,14,8,1529.0
Carbon,1,14,9,1529.0
Carbon,1,14,10,1555.0
Carbon,1,14,11,1555.0
Carbon,1,14,12,1555.0
Carbon,1,14,13,1555.0
Carbon,1,14,14,1555.0
Carbon,1,14,15,1555.0
Carbon,1,14,16,1555.0
Carbon,1,14,17,1535.0
Carbon,1,14,18,1536.1
Carbon,1,14,19,1555.0
Carbon,1,14,20,1555.0
Carbon,1,14,21,1555.0
Carbon,1,14,22,1555.0
Carbon,1,14,23,1555.0
Carbon,1,15,0,1364.5
Carbon,1,15,1,1308.4
Carbon,1,15,2,1301.0
Carbon,1,15,3,1256.0
Carbon,1,15,4,1335.0
Carbon,1,15,5,1411.3
Carbon,1,15,6,1364.2
Carbon,1,15,7,1533.0
Carbon,1,15,8,1515.0
Carbon,1,15,9,1515.0
Carbon,1,15,10,1555.0
Carbon,1,15,11,1555.0
Carbon,1,15,12,1555.0
Carbon,1,15,13,1555.0
Carbon,1,15,14,1555.0
Carbon,1,15,15,1555.0
Carbon,1,15,16,1555.0
Carbon,1,15,17,1555.0
Carbon,1,15,18,1517.0
Carbon,1,15,19,1555.0
Carbon,1,15,20,1555.0
Carbon,1,15,21,1525.0
Carbon,1,15,22,1555.0
Carbon,1,15,23,1390.0
Carbon,1,16,0,1170.0
Carbon,1,16,1,1002.0
Carbon,1,16,2,887.3
Carbon,1,16,3,841.0
Carbon,1,16,4,846.0
Carbon,1,16,5,846.0
Carbon,1,16,6,864.3
Carbon,1,16,7,931.0
Carbon,1,16,8,956.0
Carbon,1,16,9,1013.5
Carbon,1,16,10,1081.0
Carbon,1,16,11,1072.0
Carbon,1,16,12,1091.0
Carbon,1,16,13,1051.0
Carbon,1,16,14,1023.9
Carbon,1,16,15,1011.0
Carbon,1,16,16,1041.0
Carbon,1,16,17,1069.4
Carbon,1,16,18,1121.0
Carbon,1,16,19,1171.0
Carbon,1,16,20,1161.0
Carbon,1,16,21,1161.0
Carbon,1,16,22,1161.0
Carbon,1,16,23,1086.8
Carbon,1,17,0,996.3
Carbon,1,17,1,876.0
Carbon,1,17,2,821.0
Carbon,1,17,3,771.0
Carbon,1,17,4,771.0
Carbon,1,17,5,781.0
Carbon,1,17,6,781.0
Carbon,1,17,7,791.0
Carbon,1,17,8,786.0
Carbon,1,17,9,781.0
Carbon,1,17,10,841.0
Carbon,1,17,11,871.0
Carbon,1,17,12,900.0
Carbon,1,17,13,920.0
Carbon,1,17,14,920.0
Carbon,1,17,15,890.0
Carbon,1,17,16,820.0
Carbon,1,17,17,830.0
Carbon,1,17,18,917.5
Carbon,1,17,19,1003.2
Carbon,1,17,20,1051.0
Carbon,1,17,21,1091.0
Carbon,1,17,22,1047.0
Carbon,1,17,23,1061.0
Carbon,1,18,0,1301.8
Carbon,1,18,1,1320.0
Carbon,1,18,2,1259.7
Carbon,1,18,3,1110.0
Carbon,1,18,4,1105.0
Carbon,1,18,5,1277.5
Carbon,1,18,6,1301.7
Carbon,1,18,7,1327.1
Carbon,1,18,8,1330.0
Carbon,1,18,9,1330.0
Carbon,1,18,10,1347.8
Carbon,1,18,11,1340.0
Carbon,1,18,12,1340.0
Carbon,1,18,13,1340.0
Carbon,1,18,14,1340.0
Carbon,1,18,15,1340.0
Carbon,1,18,16,1343.3
Carbon,1,18,17,1347.5
Carbon,1,18,18,1341.1
Carbon,1,18,19,1419.2
Carbon,1,18,20,1490.0
Carbon,1,18,21,1448.3
Carbon,1,18,22,1345.0
Carbon,1,18,23,1348.1
Carbon,1,19,0,1100.0
Carbon,1,19,1,1000.0
Carbon,1,19,2,945.3
Carbon,1,19,3,870.0
Carbon,1,19,4,794.3
Carbon,1,19,5,831.0
Carbon,1,19,6,926.2
Carbon,1,19,7,1050.2
Carbon,1,19,8,1120.0
Carbon,1,19,9,1120.0
Carbon,1,19,10,1120.0
Carbon,1,19,11,1120.0
Carbon,1,19,12,1120.0
Carbon,1,19,13,1145.0
Carbon,1,19,14,1120.0
Carbon,1,19,15,1066.2
Carbon,1,19,16,1168.0
Carbon,1,19,17,1125.7
Carbon,1,19,18,1093.0
Carbon,1,19,19,1140.9
Carbon,1,19,20,1142.7
Carbon,1,19,21,1103.0
Carbon,1,19,22,1029.0
Carbon,1,19,23,861.3
Carbon,1,20,0,641.0
Carbon,1,20,1,501.0
Carbon,1,20,2,451.0
Carbon,1,20,3,421.0
Carbon,1,20,4,421.0
Carbon,1,20,5,470.0
Carbon,1,20,6,461.0
Carbon,1,20,7,555.0
Carbon,1,20,8,620.0
Carbon,1,20,9,685.0
Carbon,1,20,10,750.0
Carbon,1,20,11,720.0
Carbon,1,20,12,720.0
Carbon,1,20,13,671.0
Carbon,1,20,14,671.0
Carbon,1,20,15,720.0
Carbon,1,20,16,720.0
Carbon,1,20,17,670.0
Carbon,1,20,18,610.0
Carbon,1,20,19,600.0
Carbon,1,20,20,610.0
Carbon,1,20,21,494.2
Carbon,1,20,22,470.0
Carbon,1,20,23,441.0
Carbon,1,21,0,350.0
Carbon,1,21,1,270.0
Carbon,1,21,2,250.0
Carbon,1,21,3,250.0
Carbon,1,21,4,250.0
Carbon,1,21,5,250.0
Carbon,1,21,6,297.1
Carbon,1,21,7,347.5
Carbon,1,21,8,420.0
Carbon,1,21,9,450.0
Carbon,1,21,10,500.0
Carbon,1,21,11,500.0
Carbon,1,21,12,500.0
Carbon,1,21,13,500.0
Carbon,1,21,14,500.0
Carbon,1,21,15,500.0
Carbon,1,21,16,500.0
Carbon,1,21,17,430.0
Carbon,1,21,18,436.7
Carbon,1,21,19,445.0
Carbon,1,21,20,495.0
Carbon,1,21,21,470.0
Carbon,1,21,22,470.0
Carbon,1,21,23,350.0
Carbon,1,22,0,270.0
Carbon,1,22,1,250.0
Carbon,1,22,2,250.0
Carbon,1,22,3,250.0
Carbon,1,22,4,250.0
Carbon,1,22,5,250.0
Carbon,1,22,6,270.0
Carbon,1,22,7,270.0
Carbon,1,22,8,250.0
Carbon,1,22,9,250.0
Carbon,1,22,10,300.0
Carbon,1,22,11,300.0
Carbon,1,22,12,250.0
Carbon,1,22,13,250.0
Carbon,1,22,14,270.0
Carbon,1,22,15,320.0
Carbon,1,22,16,270.0
Carbon,1,22,17,250.0
Carbon,1,22,18,250.0
Carbon,1,22,19,250.0
Carbon,1,22,20,250.0
Carbon,1,22,21,243.0
Carbon,1,22,22,246.5
Carbon,1,22,23,244.2
Carbon,1,23,0,40.0
Carbon,1,23,1,
Carbon,1,23,2,
Carbon,1,23,3,
Carbon,1,23,4,
Carbon,1,23,5,
Carbon,1,23,6,
Carbon,1,23,7,
Carbon,1,23,8,
Carbon,1,23,9,
Carbon,1,23,10,
Carbon,1,23,11,
Carbon,1,23,12,
Carbon,1,23,13,
Carbon,1,23,14,
Carbon,1,23,15,
Carbon,1,23,16,
Carbon,1,23,17,
Carbon,1,23,18,
Carbon,1,23,19,
Carbon,1,23,20,
